p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.537102167,0.859,0.099,0,0,MTND6P19
1.22E-260,0.798048066,0.898,0.224,1.08E-256,0,MYL4
5.75E-224,0.922927089,0.968,0.391,5.08E-220,0,ANKRD2
3.39E-221,1.322018956,0.995,0.657,3.00E-217,0,RP11.352E6.2
2.40E-220,1.157586883,1,0.739,2.12E-216,0,MTND5P11
1.59E-213,0.718781041,0.97,0.375,1.41E-209,0,MTATP8P2
5.50E-211,0.880717813,1,0.607,4.86E-207,0,MTND6P4
1.28E-210,1.070087048,1,0.981,1.13E-206,0,MT.ND4
1.29E-210,1.031252511,0.998,0.631,1.14E-206,0,CTB.36O1.7
2.47E-210,0.524958418,0.926,0.28,2.19E-206,0,CH507.513H4.4
1.54E-209,0.984614248,0.995,0.653,1.36E-205,0,MTND4P24
1.78E-208,1.014447709,0.998,0.603,1.57E-204,0,NMRK2
2.15E-206,0.511485515,0.868,0.22,1.90E-202,0,HP
2.21E-203,1.069638535,0.995,0.632,1.95E-199,0,MYL7
9.57E-202,1.004706188,1,0.961,8.46E-198,0,MT.ND2
1.91E-201,1.126522009,1,0.929,1.68E-197,0,MT.ND4L
3.09E-201,1.050193643,1,0.933,2.74E-197,0,MTND4P12
4.64E-201,1.122574687,1,0.936,4.10E-197,0,MT.ATP8
5.14E-201,0.896355233,0.998,0.496,4.54E-197,0,FHL2
2.36E-200,0.75341189,0.935,0.315,2.09E-196,0,NFKBIA
1.00E-199,0.771603239,0.97,0.364,8.86E-196,0,PIK3R1
3.36E-199,0.976927833,1,0.624,2.97E-195,0,MTND5P10
1.27E-198,0.929551567,1,0.807,1.12E-194,0,RP11.475J5.6
1.50E-198,0.999020966,1,0.977,1.33E-194,0,MT.ATP6
4.58E-198,1.007914174,1,0.955,4.05E-194,0,MTATP6P1
7.96E-198,1.035157908,1,0.8,7.04E-194,0,ATPIF1
1.44E-197,1.099103935,1,0.835,1.27E-193,0,MYL12A
4.18E-196,0.461182131,0.886,0.272,3.70E-192,0,RP1.206D15.5
1.16E-195,0.980872523,1,0.944,1.03E-191,0,MT.ND5
2.51E-195,0.981110148,1,0.918,2.22E-191,0,MTND2P28
9.32E-195,1.054737237,0.988,0.537,8.24E-191,0,PDK4
2.51E-193,0.573085576,0.878,0.253,2.22E-189,0,MT1E
1.18E-192,0.749673256,0.958,0.368,1.05E-188,0,SMIM4
1.13E-190,1.0667331,1,0.945,1.00E-186,0,MYL2
1.15E-190,0.760536667,0.978,0.435,1.01E-186,0,PSMD8
2.46E-190,0.962574402,1,0.781,2.17E-186,0,MTATP8P1
2.57E-190,0.549218294,0.864,0.238,2.27E-186,0,HMGN2
3.05E-190,0.943163746,1,0.943,2.70E-186,0,MTND1P23
5.61E-190,0.822009801,1,0.764,4.96E-186,0,MTATP6P2
5.92E-190,0.72866921,0.978,0.499,5.23E-186,0,RP11.475J5.8
5.68E-189,0.759564883,0.995,0.547,5.02E-185,0,MT.TG
1.33E-188,0.827436198,1,0.618,1.17E-184,0,MT.TY
2.74E-188,0.884232421,0.978,0.457,2.43E-184,0,NACA3P
9.18E-188,0.927783034,1,0.966,8.12E-184,0,MT.CYB
2.35E-187,0.545928284,0.96,0.366,2.08E-183,0,MTND3P10
4.51E-187,0.975371915,1,0.829,3.99E-183,0,COX6A2
4.53E-187,0.575696224,0.943,0.364,4.01E-183,0,MTND4LP1
3.53E-185,0.789705705,1,0.66,3.12E-181,0,RP11.475J5.11
3.97E-185,0.533270635,0.931,0.347,3.51E-181,0,RP11.404E12.1
5.90E-184,0.851045622,1,0.67,5.22E-180,0,MT.TN
7.24E-184,0.908526224,1,0.971,6.40E-180,0,MT.ND1
9.58E-184,0.920644492,1,0.916,8.47E-180,0,MT.ND6
1.15E-183,0.886234619,1,0.717,1.02E-179,0,MT.TS1
2.66E-183,0.340319329,0.573,0.089,2.35E-179,0,AC010980.2
3.95E-183,0.8954788,1,0.922,3.49E-179,0,RP11.475J5.4
1.33E-182,0.90814345,1,0.697,1.18E-178,0,HADHB
5.45E-182,0.836307835,0.995,0.499,4.82E-178,0,CFL2
1.40E-181,0.728395164,0.998,0.617,1.24E-177,0,MT.TH
1.89E-181,0.82221878,1,0.678,1.67E-177,0,AC002075.4
4.05E-181,0.537922426,0.754,0.176,3.58E-177,0,MIR133A1HG
4.17E-181,0.925549969,1,0.921,3.68E-177,0,TNNI3
4.21E-181,0.88336614,1,0.889,3.72E-177,0,MTND6P3
5.46E-181,0.883116353,0.995,0.47,4.82E-177,0,RPS23P8
1.30E-179,0.9425692,1,0.774,1.15E-175,0,COX7A2
1.57E-179,0.896819602,1,0.959,1.39E-175,0,MT.ND3
3.14E-179,0.896477524,1,0.83,2.78E-175,0,MT.TE
4.38E-179,0.500066704,0.851,0.235,3.87E-175,0,FLJ44511
2.75E-178,0.854122323,0.993,0.552,2.44E-174,0,MGST3
2.86E-178,0.832937337,0.995,0.519,2.53E-174,0,AC114498.1
5.48E-178,0.88518796,1,0.611,4.85E-174,0,MYL12B
8.22E-177,0.883891822,1,0.862,7.27E-173,0,TNNC1
7.84E-176,0.94523631,1,0.939,6.93E-172,0,CH507.513H4.3
