"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,4.69451299550601,0.985,0.343,0,"B-Cells","ACACB"
"2",0,3.11951116814142,0.943,0.02,0,"B-Cells","GPAM"
"3",0,2.50685469862912,0.955,0.157,0,"B-Cells","PPARG"
"4",0,2.31547987023068,0.901,0.215,0,"B-Cells","SIK2"
"5",0,2.28844224166817,0.831,0.016,0,"B-Cells","PDE8B"
"6",0,2.2616870215582,0.821,0.066,0,"B-Cells","LIPE-AS1"
"7",0,2.26131390370285,0.794,0.024,0,"B-Cells","PRKAR2B"
"8",0,2.24854719574896,0.886,0.172,0,"B-Cells","GHR"
"9",0,2.17436632384787,0.923,0.238,0,"B-Cells","PDE3B"
"10",0,2.15935561164564,0.843,0.073,0,"B-Cells","TMEM132C"
"11",0,2.13410736089578,0.888,0.144,0,"B-Cells","PLXNA4"
"12",0,1.99969873910295,0.816,0.111,0,"B-Cells","AGBL4"
"13",0,1.97257036296604,0.878,0.174,0,"B-Cells","ADH1B"
"14",0,1.95187845451211,0.991,0.386,0,"B-Cells","EBF1"
"15",0,1.93968035807745,0.907,0.172,0,"B-Cells","ITSN1"
"16",0,1.92611705348321,0.722,0.042,0,"B-Cells","KCNIP2-AS1"
"17",0,1.84849169247243,0.828,0.151,0,"B-Cells","ACSL1"
"18",0,1.84071762479333,0.727,0.057,0,"B-Cells","IGF1"
"19",0,1.81707735026534,0.851,0.146,0,"B-Cells","BCL2"
"20",0,1.81242850355616,0.786,0.076,0,"B-Cells","TENM3"
"21",0,1.75683065476779,0.813,0.102,0,"B-Cells","MAPK10"
"22",0,1.74914912584385,0.748,0.068,0,"B-Cells","RP11-665G4.1"
"23",0,1.7369354780399,0.805,0.088,0,"B-Cells","AKAP12"
"24",0,1.73191171954804,0.704,0.032,0,"B-Cells","LIPE"
"25",0,1.73106524524225,0.789,0.085,0,"B-Cells","TPRG1"
"26",0,1.7112179949595,0.749,0.108,0,"B-Cells","EMP1"
"27",0,1.69219798129081,0.904,0.335,0,"B-Cells","FOXO1"
"28",0,1.67236921752982,0.781,0.087,0,"B-Cells","SVEP1"
"29",0,1.65941872907452,0.754,0.079,0,"B-Cells","ELMOD3"
"30",0,1.65750084695287,0.876,0.224,0,"B-Cells","LPL"
"31",0,1.65458508250768,0.802,0.191,0,"B-Cells","MGEA5"
"32",0,1.63779010467463,0.757,0.053,0,"B-Cells","SPON1"
"33",0,1.63093143348987,0.851,0.196,0,"B-Cells","MYCBP2"
"34",0,1.62856233425175,0.818,0.121,0,"B-Cells","RP11-444D3.1"
"35",0,1.62383401837107,0.873,0.263,0,"B-Cells","ITPR2"
"36",0,1.62375375092916,0.869,0.24,0,"B-Cells","FRMD4A"
"37",0,1.62122250639393,0.894,0.233,0,"B-Cells","MGST1"
"38",0,1.61819984782407,0.746,0.065,0,"B-Cells","DHRS3"
"39",0,1.59919040557862,0.695,0.018,0,"B-Cells","TRHDE"
"40",0,1.59751706430861,0.781,0.086,0,"B-Cells","DIRC3"
"41",0,1.57414582606441,0.675,0.046,0,"B-Cells","APBB1IP"
"42",0,1.55888056945025,0.688,0.021,0,"B-Cells","MLXIPL"
"43",0,1.5544418894238,0.736,0.046,0,"B-Cells","FABP4"
"44",0,1.52751276696575,0.749,0.074,0,"B-Cells","CLMP"
"45",0,1.51911154001629,0.752,0.099,0,"B-Cells","VKORC1L1"
"46",0,1.50814613399434,0.761,0.104,0,"B-Cells","SOX5"
"47",0,1.50451536105708,0.876,0.304,0,"B-Cells","COL4A2"
"48",0,1.49038910798558,0.71,0.049,0,"B-Cells","ADAMTS12"
"49",0,1.47956105683615,0.808,0.175,0,"B-Cells","ASPH"
