p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.080390866,0.977,0.315,0,0,ESRRG
0,1.073802303,1,0.446,0,0,FHL2
0,1.012787458,0.998,0.393,0,0,MYOM1
0,1.00376852,1,0.484,0,0,SORBS2
0,1.002450991,1,0.419,0,0,MYBPC3
0,0.995174272,0.999,0.449,0,0,PPP1R12B
0,0.991347219,1,0.508,0,0,RYR2
0,0.979339087,0.999,0.439,0,0,PALLD
0,0.966014655,1,0.407,0,0,MLIP
0,0.945027688,0.989,0.338,0,0,TECRL
0,0.93689232,1,0.459,0,0,FGF12
0,0.932604524,0.576,0.103,0,0,CTNND2
0,0.923771888,0.704,0.167,0,0,AC009264.1
0,0.922944241,0.954,0.28,0,0,PKP2
0,0.914322594,0.968,0.295,0,0,TMEM178B
0,0.911606706,0.955,0.279,0,0,TENM2
0,0.910076353,0.794,0.266,0,0,CHN2
0,0.907599475,0.992,0.345,0,0,CDH2
0,0.907410185,1,0.515,0,0,SLC8A1
0,0.889851921,0.956,0.283,0,0,FHOD3
0,0.888257801,0.921,0.291,0,0,MYOM2
0,0.88362935,0.945,0.272,0,0,CHRM2
0,0.86967317,0.96,0.368,0,0,SAMD4A
0,0.866300932,0.888,0.233,0,0,LRRTM3
0,0.858925897,0.986,0.351,0,0,PLCXD3
0,0.856599687,1,0.445,0,0,CTNNA3
0,0.852699347,0.998,0.368,0,0,RP11-532N4.2
0,0.852454173,0.961,0.313,0,0,PHACTR1
0,0.849810767,0.923,0.267,0,0,CKMT2
0,0.849001925,0.894,0.243,0,0,MYH7B
0,0.845920553,0.99,0.423,0,0,FHIT
0,0.843843254,0.999,0.437,0,0,NEXN
0,0.843072132,0.976,0.315,0,0,TRDN
0,0.840424696,0.999,0.516,0,0,SORBS1
0,0.840255559,0.722,0.185,0,0,HOMER1
0,0.839508658,0.997,0.437,0,0,CDH13
0,0.838032703,0.944,0.29,0,0,C15orf41
0,0.835699869,0.889,0.292,0,0,PLCL2
0,0.83251146,0.987,0.335,0,0,AKAP6
0,0.832082683,0.567,0.177,0,0,TTTY14
0,0.830003446,0.999,0.377,0,0,RBM20
0,0.828789732,1,0.424,0,0,SGCD
0,0.827741062,0.865,0.256,0,0,NCAM1
0,0.827428356,0.854,0.249,0,0,ROR1
0,0.825501123,0.821,0.232,0,0,CCDC141
0,0.820502145,0.987,0.343,0,0,PDZRN3
0,0.819795813,0.997,0.41,0,0,NEBL
0,0.81928805,1,0.529,0,0,ABLIM1
0,0.817656504,1,0.479,0,0,PDLIM5
0,0.816382421,0.636,0.162,0,0,LRRC39
0,0.81619088,0.9,0.269,0,0,MITF
0,0.814422574,1,0.575,0,0,DMD
0,0.813314198,0.865,0.229,0,0,RP11-368L12.1
0,0.813063167,0.945,0.293,0,0,TACC2
0,0.812496738,0.999,0.428,0,0,CACNB2
0,0.808680612,0.917,0.276,0,0,WBSCR17
0,0.80651211,0.739,0.186,0,0,MYOCD
0,0.800975807,0.997,0.437,0,0,PDE4DIP
0,0.80030294,0.988,0.435,0,0,MAGI1
0,0.798243939,0.737,0.213,0,0,TPM2
0,0.792197798,0.996,0.448,0,0,LARGE
0,0.790784299,0.875,0.243,0,0,SLC8A1-AS1
0,0.790712691,0.806,0.229,0,0,HOOK2
0,0.790181115,0.997,0.427,0,0,LDB3
0,0.785706608,0.728,0.209,0,0,DGKG
0,0.783967801,0.888,0.253,0,0,DPF3
0,0.783527292,0.993,0.359,0,0,THSD4
0,0.776943156,0.84,0.234,0,0,DPY19L2
0,0.769344779,0.741,0.21,0,0,FAM134B
0,0.768539775,0.985,0.395,0,0,PDE7A
0,0.757930724,0.769,0.208,0,0,DAPK2
0,0.755483089,0.801,0.29,0,0,XPR1
0,0.754654894,0.998,0.446,0,0,TNNT2
0,0.750502419,0.96,0.323,0,0,DTNA
0,0.749717282,0.992,0.463,0,0,FILIP1
0,0.746217603,0.77,0.209,0,0,ACOT11
0,0.739091493,0.937,0.327,0,0,INADL
0,0.735908511,0.985,0.357,0,0,ANK2
0,0.734455771,0.504,0.125,0,0,RP11-400K9.4
0,0.730774721,0.999,0.59,0,0,PDE3A
0,0.728701596,0.828,0.22,0,0,SPHKAP
0,0.728077778,0.881,0.251,0,0,MYO18B
0,0.726066053,0.918,0.288,0,0,ACTN2
0,0.724867066,1,0.559,0,0,CACNA1C
0,0.722972992,0.87,0.264,0,0,RNF150
0,0.722611764,0.658,0.179,0,0,FSD2
0,0.722598844,0.654,0.192,0,0,GREB1L
0,0.72212467,0.679,0.185,0,0,GCNT2
0,0.718684163,0.711,0.191,0,0,GAS2
0,0.716079412,0.957,0.327,0,0,RCAN2
0,0.715950044,0.717,0.235,0,0,HDAC9
0,0.711433077,0.711,0.202,0,0,PRKAA2
0,0.710884152,0.692,0.194,0,0,MYPN
0,0.707915332,0.48,0.121,0,0,AC012360.6
0,0.707610379,0.767,0.212,0,0,MYOM3
0,0.703981885,0.545,0.145,0,0,PPP1R1C
0,0.702333772,0.951,0.315,0,0,MYOZ2
0,0.702307141,0.459,0.122,0,0,CTB-178M22.1
0,0.700686221,0.78,0.226,0,0,TMEM65
0,0.697488649,0.942,0.346,0,0,TRPM7
0,0.697434198,0.911,0.379,0,0,LIMCH1
0,0.697284401,0.886,0.267,0,0,EFNA5
0,0.696714333,0.76,0.209,0,0,SGCG
0,0.695869859,0.623,0.177,0,0,NCEH1
0,0.695358818,0.615,0.159,0,0,MLIP-AS1
0,0.693070241,0.799,0.223,0,0,PPARGC1A
0,0.69282768,0.944,0.397,0,0,PXDNL
0,0.691947622,0.599,0.175,0,0,AIG1
0,0.689375143,0.387,0.1,0,0,RP11-16L14.2
0,0.688856733,0.52,0.13,0,0,GRIP2
0,0.687865348,0.603,0.182,0,0,GPC5
