Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05012:Parkinson's disease	72	3.779527559055118	4.191428250843619E-30	UQCRC2, ATP5D, ATP5E, UQCRC1, UBE2G1, ADCY5, ATP5B, CYC1, NDUFAB1, PINK1, COX5A, UQCRFS1, COX5B, UQCRQ, NDUFS7, NDUFS6, NDUFS5, UQCR10, NDUFS4, NDUFS8, PRKACB, NDUFS3, ATP5H, NDUFS1, ATP5J, NDUFB10, SLC25A4, CYCS, COX4I1, NDUFC1, NDUFA10, NDUFA12, COX6C, UQCRH, ATP5C1, UBB, UQCRB, NDUFB3, NDUFB4, NDUFB5, GNAI3, NDUFB6, NDUFB7, NDUFB9, COX7B, COX7C, ATP5G2, ATP5G1, ATP5G3, NDUFB1, NDUFB2, COX6B1, NDUFA4, NDUFA5, COX7A2, COX7A1, NDUFA8, NDUFA6, ATP5F1, PARK2, VDAC2, VDAC3, NDUFA1, PARK7, VDAC1, NDUFV3, SDHA, SDHB, NDUFV1, NDUFV2, COX6A2, ATP5A1	805	142	6879	4.332849269530225	1.1694084819853696E-27	1.1694084819853696E-27	5.538996645359444E-27
KEGG_PATHWAY	hsa03010:Ribosome	69	3.622047244094488	7.295557057324023E-29	RPL18, RPL19, RPL14, RPL13, RPL15, RPLP2, RPS2, RPS3, RPS3A, RPLP0, RPLP1, FAU, RPL10, RPL11, MRPL33, RPS27A, RPL36AL, RPL35A, RPS4X, RPS18, RPS19, RPS16, RPL41, RPS17, RPS14, RPS15, RPS12, RPL3L, RPS13, RPS11, UBA52, RPL35, RPL27A, RPL36, RPL37, RPL38, RPS25, RPS27, RPL30, RPS29, MRPL15, RPL32, RPL7, RPL6, RPL31, RPL34, RPL8, RPL5, RPS20, RPL7A, RPL10A, RPL4, RPS23, RPS24, RPSA, RPS9, RPL27, MRPS21, RPL23A, RPL24, RPS6, RPS5, RPS8, RPL29, RPS7, RPL23, RPL13A, RPL21, RPL37A	805	136	6879	4.335504201680672	2.0354604189934023E-26	1.0177302094967011E-26	9.641120794185787E-26
KEGG_PATHWAY	hsa00190:Oxidative phosphorylation	65	3.4120734908136483	5.205666918654679E-26	UQCRC2, ATP5D, ATP5E, UQCRC1, COX10, ATP5B, CYC1, NDUFAB1, UQCRFS1, COX5A, UQCRQ, COX5B, NDUFS7, NDUFS6, NDUFS5, UQCR10, NDUFS4, NDUFS8, ATP5L, NDUFS3, ATP5I, COX17, ATP5H, NDUFS1, ATP5J, NDUFB10, COX4I1, NDUFC1, NDUFA10, NDUFA12, COX6C, UQCRH, ATP5C1, UQCRB, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB9, COX7B, COX7C, ATP5G2, ATP5G1, ATP6V1G1, ATP5G3, NDUFB1, NDUFB2, COX6B1, NDUFA4, NDUFA5, COX7A2, COX7A1, NDUFA8, NDUFA6, ATP5F1, NDUFA1, PPA2, NDUFV3, SDHA, SDHB, NDUFV1, NDUFV2, COX6A2, ATP5A1	805	133	6879	4.176294774202587	1.4523810703046555E-23	4.841270234348851E-24	6.879318903641826E-23
KEGG_PATHWAY	hsa05010:Alzheimer's disease	69	3.622047244094488	3.2840336313942373E-22	UQCRC2, ATP5D, ATP5E, UQCRC1, ATP5B, CYC1, NDUFAB1, UQCRFS1, COX5A, COX5B, UQCRQ, NDUFS7, NDUFS6, NDUFS5, UQCR10, NDUFS4, PLCB4, MAPT, NDUFS8, NDUFS3, ATP5H, NDUFS1, ATP5J, NDUFB10, CYCS, COX4I1, NDUFC1, NDUFA10, NDUFA12, COX6C, UQCRH, ATP5C1, EIF2AK3, UQCRB, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB9, COX7B, COX7C, ATP5G2, ATP5G1, ATP5G3, NDUFB1, NDUFB2, COX6B1, GAPDH, NDUFA4, LPL, NDUFA5, COX7A2, COX7A1, NDUFA8, NDUFA6, ATP5F1, NDUFA1, NDUFV3, SDHA, SDHB, ATP2A2, NDUFV1, GSK3B, NDUFV2, COX6A2, ATP5A1, CACNA1C, CALM1	805	168	6879	3.5096938775510207	9.162453831589923E-20	2.2906134578974807E-20	4.339869414173815E-19
KEGG_PATHWAY	hsa05016:Huntington's disease	73	3.832020997375328	3.6995064477594355E-21	UQCRC2, ATP5D, ATP5E, UQCRC1, ATP5B, CYC1, NDUFAB1, COX5A, UQCRFS1, COX5B, UQCRQ, NDUFS7, NDUFS6, NDUFS5, UQCR10, BDNF, NDUFS4, PLCB4, NDUFS8, NDUFS3, ATP5H, NDUFS1, ATP5J, NDUFB10, SLC25A4, CYCS, COX4I1, NDUFC1, NDUFA10, PPARGC1A, NDUFA12, COX6C, UQCRH, ATP5C1, UQCRB, NDUFB3, DNAH11, NDUFB4, NDUFB5, NDUFB6, NDUFB7, POLR2L, NDUFB9, COX7B, COX7C, ATP5G2, ATP5G1, ATP5G3, NDUFB1, NDUFB2, COX6B1, TGM2, NDUFA4, NDUFA5, COX7A2, COX7A1, NDUFA8, NDUFA6, ATP5F1, CREB5, VDAC2, SOD1, VDAC3, NDUFA1, VDAC1, SOD2, NDUFV3, SDHA, SDHB, NDUFV1, NDUFV2, COX6A2, ATP5A1	805	192	6879	3.2490100931677017	1.0321622989248825E-18	2.064324597849765E-19	4.888919140987505E-18
KEGG_PATHWAY	hsa04932:Non-alcoholic fatty liver disease (NAFLD)	61	3.202099737532808	3.033350751501866E-19	UQCRC2, PPARA, UQCRC1, PRKAG1, CYC1, PRKAG2, NDUFAB1, UQCRFS1, COX5A, UQCRQ, COX5B, NDUFS7, NDUFS6, NDUFS5, UQCR10, MAP3K5, NDUFS4, NDUFS8, NDUFS3, INSR, NDUFS1, NDUFB10, PIK3CB, CYCS, COX4I1, NDUFC1, NDUFA10, NDUFA12, COX6C, UQCRH, MAPK8, EIF2AK3, UQCRB, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB9, COX7B, COX7C, NDUFB1, NDUFB2, COX6B1, PRKAA2, PIK3R1, NDUFA4, NDUFA5, COX7A2, COX7A1, NDUFA8, NDUFA6, NDUFA1, NDUFV3, SDHA, SDHB, ATF4, NDUFV1, GSK3B, NDUFV2, COX6A2	805	151	6879	3.4520916457570645	8.463048596690206E-17	1.4105080994483677E-17	4.008590540321348E-16
KEGG_PATHWAY	hsa04260:Cardiac muscle contraction	36	1.889763779527559	3.467010572081122E-14	UQCRC2, ATP1B1, UQCRC1, MYL2, TNNC1, MYL3, CYC1, COX7B, COX7C, CACNB2, TPM2, UQCRFS1, COX5A, TPM1, UQCRQ, COX5B, UQCR10, COX6B1, CACNA2D1, ACTC1, COX7A2, COX7A1, ATP1A3, COX4I1, MYH7, MYH6, ATP1A2, CACNA2D3, TNNI3, COX6C, TNNT2, UQCRH, COX6A2, RYR2, CACNA1C, UQCRB	805	75	6879	4.10176397515528	9.664269384757063E-12	1.3805623311213822E-12	4.5774495305295204E-11
KEGG_PATHWAY	hsa01200:Carbon metabolism	39	2.047244094488189	4.989624294815697E-10	ALDOA, ME1, ME3, ME2, PGAM1, PGAM2, HK1, OGDH, ACSS2, ACAT1, HADHA, PKM, GOT2, TPI1, ACSS1, GOT1, MCEE, IDH2, RGN, CAT, PDHA1, SUCLA2, GAPDH, ACADM, ACO2, SUCLG2, SUCLG1, CS, PFKM, DLAT, IDH3A, SDHA, SDHB, GPI, DLD, HIBCH, PGK1, MDH2, MDH1	805	113	6879	2.949277194525367	1.3921050745491215E-7	1.740131450045368E-8	6.593817269973101E-7
KEGG_PATHWAY	hsa04261:Adrenergic signaling in cardiomyocytes	43	2.257217847769029	2.0025188393137292E-9	PPP2R3B, ATP1B1, GNAI3, PPP2R3A, MYL2, TNNC1, MYL3, PPP2R5A, CREM, ADCY5, ADCY6, PPP2R5C, CACNB2, TPM2, TPM1, PLCB4, ATP2B4, CAMK2D, CAMK2B, RAPGEF4, PRKACB, KCNQ1, SCN5A, PPP2R2D, CACNA2D1, ACTC1, ATP1A3, CREB5, MYH7, MYH6, ATP1A2, CACNA2D3, TNNI3, RPS6KA5, TNNT2, ATF4, ADCY9, PLN, RYR2, ADRA1A, GNAS, CACNA1C, CALM1	805	138	6879	2.6626789089927088	5.587025945219537E-7	6.207808145308746E-8	2.6463401470167014E-6
KEGG_PATHWAY	hsa05414:Dilated cardiomyopathy	31	1.627296587926509	6.9068360493968795E-9	MYL2, TNNC1, MYL3, ADCY5, ADCY6, MYBPC3, CACNB2, TPM2, TTN, TPM1, ITGB1, ACTG1, DES, DMD, ITGAV, PRKACB, ACTB, CACNA2D1, ACTC1, CACNA2D3, TNNI3, TNNT2, ITGA9, SGCG, ADCY9, PLN, ITGA7, SGCD, RYR2, GNAS, CACNA1C	805	84	6879	3.1536379769299026	1.9270054226749878E-6	1.9270070938937067E-7	9.127423417076841E-6
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy (HCM)	28	1.4698162729658792	8.385700204017442E-8	MYL2, TNNC1, MYL3, PRKAG1, PRKAG2, MYBPC3, CACNB2, TTN, TPM2, TPM1, ITGB1, ACTG1, DES, DMD, ITGAV, PRKAA2, ACTB, CACNA2D1, ACTC1, CACNA2D3, TNNI3, TNNT2, ITGA9, SGCG, ITGA7, SGCD, RYR2, CACNA1C	805	78	6879	3.0675585284280937	2.3395830854755495E-5	2.126916332834128E-6	1.1081745580066027E-4
KEGG_PATHWAY	hsa00020:Citrate cycle (TCA cycle)	15	0.7874015748031495	1.9072170209230987E-6	ACO2, SUCLG2, SUCLG1, CS, DLAT, OGDH, IDH3A, SDHA, SDHB, DLD, IDH2, PDHA1, SUCLA2, MDH2, MDH1	805	30	6879	4.272670807453417	5.319725086742055E-4	4.434185489177178E-5	0.0025203689517971917
