Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04510:Focal adhesion	42	2.861035422343324	1.0160985123467214E-8	CAV1, ITGA10, PXN, CTNNB1, CDC42, PTK2, DOCK1, PPP1R12A, RHOA, PIK3CA, PDGFD, THBS1, RAPGEF1, AKT3, FN1, FLT1, VAV3, TNXB, ROCK1, ROCK2, ITGA1, ACTN1, CAPN2, COL5A3, FLNB, KDR, PRKCB, VWF, MAPK1, ITGA9, LAMA4, CCND3, ITGA6, LAMA5, FYN, ITGA5, RAP1A, MAPK8, RAP1B, LAMC1, CRK, PARVA	532	206	6879	2.6363055697496165	2.6012088321092364E-6	2.6012088321092364E-6	1.3249334152032333E-5
KEGG_PATHWAY	hsa04144:Endocytosis	46	3.1335149863760217	1.5084188594317072E-8	CAV1, CYTH1, CAPZA2, STAM2, CAPZA1, ASAP2, SNX2, VPS37A, ASAP1, EEA1, ARFGEF2, ARFGEF1, CDC42, AP2B1, ARPC2, GIT2, KIAA1033, RHOA, RAB11A, WIPF1, AGAP1, IQSEC1, MVB12B, DNM3, VTA1, TGFBR2, HLA-A, SMAD3, HLA-C, SMAD2, HLA-B, HLA-E, EPS15, AP2A2, RAB11FIP3, NEDD4, ARRB1, ACAP2, RAB5A, SMURF2, PDCD6IP, GRK5, ARAP3, RAB11FIP1, EPN2, DNM2	532	241	6879	2.468052912363897	3.861544845995546E-6	1.930774286895698E-6	1.9668904704950307E-5
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	42	2.861035422343324	1.817761033385155E-8	ADCY4, GNAI2, CTNND1, CTNNB1, CDC42, PLCB4, RASGRP3, TEK, RHOA, PIK3CA, RAPGEF5, RAPGEF4, PDGFD, RAPGEF2, PLCB1, THBS1, RAPGEF1, ANGPT2, AKT3, MAGI3, FLT1, MAGI1, KDR, PRKCB, DOCK4, PRKD1, MAPK1, PRKD2, PLCE1, PLCG1, GNAQ, ID1, SIPA1L1, MAPK14, RAP1A, EFNA5, GNAS, RAP1B, ARAP3, CRK, PRKD3, CALM1	532	210	6879	2.5860902255639093	4.653457453263066E-6	1.5511548905333683E-6	2.3702546314563477E-5
KEGG_PATHWAY	hsa05200:Pathways in cancer	63	4.291553133514987	2.48781312539371E-8	ADCY4, PPARG, FOXO1, NFKB1, TGFB1, TGFB2, CTNNB1, CDC42, EDNRB, FOS, PLCB4, RHOA, PIK3CA, TPR, PLCB1, AKT3, CTBP2, BCR, ROCK1, ROCK2, RUNX1T1, CDK6, RB1, MECOM, CTNNA1, ARHGEF12, DAPK1, PRKCB, ARHGEF11, MAPK1, GNAQ, GNB1, LPAR6, GNB4, GNAS, MAPK8, LAMC1, BID, GNAI2, NFKBIA, BCL2L1, GNG12, TCF7L2, TCF7L1, PTK2, RASGRP3, FN1, EPAS1, TGFBR2, SMAD3, SMAD2, FZD4, FZD6, WNT2B, LAMA4, PLCG1, ITGA6, ETS1, LAMA5, RASSF1, PLCG2, IKBKB, CRK	532	393	6879	2.0728204098031338	6.368781391263845E-6	1.5921991504130872E-6	3.243963446752929E-5
KEGG_PATHWAY	hsa04520:Adherens junction	21	1.430517711171662	2.1442564665955108E-7	PTPRB, PTPRJ, PTPRM, NLK, WASF2, TGFBR2, SMAD3, ACTN1, CTNND1, SMAD2, CTNNA1, TCF7L2, IQGAP1, TCF7L1, CTNNB1, CDC42, MAPK1, TJP1, FYN, RHOA, YES1	532	71	6879	3.8244996293550773	5.4891464844497584E-5	1.0978534022654252E-5	2.7959823830636665E-4
KEGG_PATHWAY	hsa04070:Phosphatidylinositol signaling system	25	1.7029972752043598	2.4290742206125844E-7	PIK3C2A, PIK3C2B, SYNJ1, DGKH, ITPKB, DGKI, ITPR3, ITPR1, PRKCB, ITPR2, MTMR2, PLCE1, PLCB4, DGKE, PLCG1, PLCG2, DGKZ, PIK3CA, SYNJ2, INPP4A, INPP5D, PIP4K2A, PLCB1, CALM1, IP6K2	532	98	6879	3.298584471382538	6.218237419730599E-5	1.0363997560269844E-5	3.167367182421721E-4
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	33	2.2479564032697548	2.933318097947723E-7	MEF2C, ADCY4, MEF2A, GNAI2, PDE3B, ATF2, ATP2B1, EDNRB, ATP2B4, PLCB4, GATA4, ATF6B, PPP1R12A, RHOA, PPP3CC, PPP3CA, PLCB1, NFATC2, NFATC3, AKT3, ROCK1, ROCK2, CREB1, CREB5, PRKCE, ITPR3, ITPR1, ITPR2, MAPK1, ATF4, GNAQ, GTF2I, CALM1	532	158	6879	2.700663843152184	7.509013492779104E-5	1.0727507364638456E-5	3.8248698130960435E-4
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	38	2.588555858310627	3.871047742550933E-7	CAV1, RDX, TIMP3, PXN, TGFB1, IQGAP1, TGFB2, CTNNB1, CDC42, PTK2, PPP1R12A, RHOA, PIK3CA, MSN, THBS1, AKT3, FN1, ROCK1, ROCK2, HSPG2, ITPR3, ARHGEF12, DDX5, FZD4, FLNB, ITPR1, KDR, PRKCB, FZD6, ITPR2, WNT2B, MAPK1, PLCE1, PLCG1, ITGA5, RRAS2, MAPK14, PLCG2	532	200	6879	2.456785714285714	9.9093931257066E-5	1.2387278450209926E-5	5.04760983977004E-4
KEGG_PATHWAY	hsa04360:Axon guidance	28	1.9073569482288828	9.286263990137442E-7	NRP1, GNAI2, PLXNA2, ABLIM3, CDC42, PTK2, RHOA, PPP3CC, SEMA3A, PPP3CA, NFATC2, NFATC3, RASA1, LIMK2, ROCK1, ROCK2, DPYSL2, ARHGEF12, NTN1, SEMA6A, EPHA4, MAPK1, RGS3, FYN, NCK1, SRGAP3, EFNA5, SRGAP2	532	127	6879	2.8508081226688766	2.3770021335101088E-4	2.6413925426571616E-5	0.0012108681631706197
KEGG_PATHWAY	hsa04014:Ras signaling pathway	40	2.7247956403269753	1.196134869177824E-6	TBK1, NFKB1, BCL2L1, GNG12, RASAL2, CDC42, RASGRP3, TEK, RHOA, PIK3CA, RAPGEF5, PDGFD, ANGPT2, RASA1, AKT3, RASA2, FLT1, KDR, PRKCB, MAPK1, PLCE1, PLA2G4A, RASGRF2, PLCG1, ETS1, GNB1, RRAS2, ETS2, RASSF1, PLCG2, RAB5A, RAP1A, RAP1B, MAPK8, EFNA5, GNB4, IKBKB, ABL2, PLA2G5, CALM1	532	226	6879	2.288575420853017	3.0616383192327845E-4	3.0620602143538456E-5	0.0015596792220740063
