Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04510:Focal adhesion	64	3.0476190476190474	1.8674127815966273E-12	TLN2, PTEN, CTNNB1, ACTG1, CDC42, RHOA, PIK3CA, PAK1, PDGFD, RAPGEF1, AKT3, PRKCA, EGFR, ROCK1, BRAF, PIK3CD, PPP1CB, CCND3, COL1A2, PDGFRB, MAPK8, LAMC1, COL1A1, COL24A1, COL3A1, ITGB5, ITGA10, ITGB1, PXN, PTK2, DOCK1, COL6A6, BCL2, COL6A3, SOS2, COL6A2, COL6A1, PIK3R5, LAMB1, THBS1, PIK3R1, FN1, COL4A4, ACTB, COL4A3, COL4A2, TNXB, COL4A1, VAV3, FLT1, ITGA1, IGF1, MAPK10, COL5A3, CAPN2, COL5A2, COL5A1, KDR, LAMA2, VWF, ITGA6, FYN, ITGA5, RAP1B	854	206	6879	2.502535185648348	5.247380308048832E-10	5.247380308048832E-10	2.470490478856391E-9
KEGG_PATHWAY	hsa05200:Pathways in cancer	94	4.476190476190476	1.417831975524212E-10	ADCY3, HSP90AB1, ADCY4, ADCY1, PPARD, FGF7, FGF14, STAT5B, GNA12, FGF10, FOXO1, NFKB1, LPAR1, MMP2, GLI3, PTEN, TGFB1, TGFB2, CTNNB1, CDC42, EDNRB, AGTR1, RHOA, PIK3CA, PLCB1, CSF2RA, AKT3, EGFR, PRKCA, BCR, BRAF, ROCK1, PIK3CD, RUNX1T1, RB1, MECOM, CTNNA1, ARHGEF12, DAPK1, EP300, GNAQ, GNB1, PDGFRB, MDM2, MAPK8, LAMC1, BID, FGFR1, WNT5B, GNAI2, EGLN3, NFKBIA, EGLN1, BCL2L1, ZBTB16, GNG12, ITGB1, TCF7L2, TCF7L1, ARNT, PTK2, BCL2, SOS2, PIK3R5, RUNX1, LAMB1, PIK3R1, TRAF3, FN1, COL4A4, COL4A3, COL4A2, TCF7, COL4A1, EPAS1, TGFBR1, TGFBR2, CREBBP, IGF1, SMAD3, MAPK10, STAT1, FZD4, STAT3, WNT2B, LAMA2, CBLB, PLCG1, ITGA6, ETS1, RASSF1, JAK1, IKBKB, ABL1	854	393	6879	1.9266496236837871	3.984109298027505E-8	1.992054665667098E-8	1.875739785717201E-7
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	84	4.0	6.45188328206327E-10	HSP90AB1, FGF7, FGF14, OSMR, FGF10, NFKB1, FOXO3, LPAR1, PTEN, PKN3, IL4R, CREB3L2, PIK3CA, ANGPT1, PDGFD, AKT3, SYK, GHR, EGFR, PRKCA, SGK1, RBL2, PIK3CD, PKN2, PKN1, IL6R, DDIT4, IFNAR2, CCND3, GNB1, COL1A2, PDGFRB, MDM2, LAMC1, COL1A1, COL24A1, NGF, PHLPP1, FGFR1, MCL1, COL3A1, ITGB5, ITGA10, BCL2L1, GNG12, ITGB1, CDC37, PTK2, COL6A6, BCL2, TEK, COL6A3, SOS2, COL6A2, COL6A1, PIK3R5, PRKAA1, LAMB1, THBS1, PIK3R1, PPP2R2D, FN1, COL4A4, COL4A3, COL4A2, TNXB, COL4A1, FLT1, ITGA1, YWHAB, IGF1, NR4A1, CREB5, COL5A3, COL5A2, COL5A1, KDR, LAMA2, VWF, ATF4, ITGA6, ITGA5, JAK1, IKBKB	854	345	6879	1.9612259444048468	1.8129790912979615E-7	6.043264000332726E-8	8.535602336046111E-7
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	56	2.666666666666667	4.085243945841448E-9	MMP2, TGFB1, SDC2, TGFB2, CTNNB1, ACTG1, CDC42, CTTN, TIAM1, RHOA, PIK3CA, PAK1, TWIST2, AKT3, PRKCA, EGFR, ROCK1, BRAF, PIK3CD, ESR1, ARHGEF12, PPP1CB, CTSL, MDM2, FGFR1, WNT5B, LUM, ITGB5, RDX, DCN, TIMP3, ITGB1, PXN, PTK2, SOS2, PIK3R5, THBS1, PIK3R1, FN1, ACTB, HCLS1, HSPG2, IGF1, CD63, DDX5, ITPR3, FZD4, STAT3, ITPR1, ITPR2, KDR, WNT2B, CBLB, PLCG1, ITGA5, MAPK14	854	200	6879	2.255409836065574	1.1479528851943144E-6	2.8698834486640123E-7	5.4046259356788084E-6
KEGG_PATHWAY	hsa05100:Bacterial invasion of epithelial cells	30	1.4285714285714286	1.6616490131519873E-8	WASF2, CD2AP, ITGB1, PXN, CTNNB1, ACTG1, CDC42, PTK2, CTTN, DOCK1, ARPC2, RHOA, PIK3CA, PIK3R5, PIK3R1, FN1, ACTB, DNM3, HCLS1, PIK3CD, CTNNA1, SEPT11, ELMO1, ARPC1B, CBLB, ITGA5, SEPT6, DNM1, SEPT9, ARHGAP10	854	78	6879	3.0980904341560076	4.6692228795608415E-6	9.338463200503355E-7	2.198299748901178E-5
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	56	2.666666666666667	2.6771110855831668E-8	ADCY3, ADCY4, ADCY1, FGF7, TLN2, FGF14, FGF10, LPAR1, CTNNB1, ACTG1, CDC42, TIAM1, RHOA, RAPGEF5, PIK3CA, ANGPT1, PDGFD, PLCB1, RAPGEF1, AKT3, MAP2K6, PRKCA, EGFR, MAGI3, MAGI2, BRAF, PIK3CD, FARP2, PRKD1, PRKD2, GNAQ, SIPA1L1, KRIT1, PDGFRB, PRKD3, NGF, FGFR1, GNAI2, APBB1IP, ITGB1, TEK, PIK3R5, THBS1, PIK3R1, FYB, ACTB, GNAO1, FLT1, IGF1, DOCK4, KDR, PLCG1, ID1, MAPK14, RAP1B, ARAP3	854	210	6879	2.1480093676814986	7.522653963754067E-6	1.253779590482118E-6	3.54171801775216E-5
KEGG_PATHWAY	hsa04611:Platelet activation	40	1.9047619047619049	6.221334673469426E-8	ADCY3, ADCY4, ADCY1, GNAI2, TLN2, COL3A1, PRKG1, ITGB1, APBB1IP, ACTG1, PTGIR, RHOA, PIK3CA, PIK3R5, PLCB1, AKT3, PIK3R1, SYK, ACTB, TBXAS1, LYN, ROCK1, PIK3CD, ITPR3, ARHGEF12, COL5A3, PPP1CB, COL5A2, ITPR1, COL5A1, ITPR2, VWF, PLA2G4A, GNAQ, FYN, MAPK14, COL1A2, RAP1B, COL1A1, COL24A1	854	130	6879	2.4784723473248067	1.748179815708184E-5	2.497418447933164E-6	8.23059170707019E-5
KEGG_PATHWAY	hsa05215:Prostate cancer	30	1.4285714285714286	3.479186316815314E-7	HSP90AB1, FGFR1, NFKBIA, FOXO1, NFKB1, TCF7L2, PTEN, TCF7L1, CTNNB1, BCL2, SOS2, CREB3L2, PIK3CA, PIK3R5, PDGFD, PIK3R1, AKT3, EGFR, TCF7, BRAF, CREBBP, PIK3CD, IGF1, CREB5, RB1, ATF4, EP300, PDGFRB, MDM2, IKBKB	854	88	6879	2.746034703001916	9.776037365316625E-5	1.2220569391985237E-5	4.6028245606066776E-4
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	29	1.380952380952381	9.559318383960107E-7	COL3A1, ITGB5, ITGA10, ITGB1, COL6A6, COL6A3, COL6A2, COL6A1, THBS1, LAMB1, FN1, COL4A4, COL4A3, COL4A2, COL4A1, TNXB, HSPG2, ITGA1, COL5A3, COL5A2, COL5A1, LAMA2, VWF, ITGA6, ITGA5, COL1A2, COL1A1, LAMC1, COL24A1	854	87	6879	2.685011709601874	2.685809006576223E-4	2.984588515464459E-5	0.0012646549464645496
KEGG_PATHWAY	hsa05169:Epstein-Barr virus infection	35	1.6666666666666667	2.853021712051173E-6	TBK1, SHFM1, VIM, NFKBIA, NFKB1, BCL2, PIK3CA, PIK3R5, PIK3R1, MAP2K6, AKT3, SYK, TRAF3, LYN, PIK3CD, HLA-A, HLA-C, RB1, HLA-B, MAPK10, HLA-E, TAB2, STAT3, DDX58, NEDD4, MAPK14, CD58, JAK1, MDM2, MAPK8, RBPJ, IKBKB, MAP3K14, EIF2AK2, NCOR2	854	122	6879	2.310870733673743	8.013789689552686E-4	8.016681094302758E-5	0.00377437597647301
