Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04144:Endocytosis	55	4.089219330855019	1.6924556076442274E-12	CLTA, CAPZA2, CAPZA1, CLTC, CDC42, SMAP2, ZFYVE16, WWP1, GIT2, KIAA1033, RHOA, AGAP3, MVB12B, FAM21C, ARPC1B, RAB11FIP2, ARRB1, IGF2R, ACAP2, SH3KBP1, MDM2, PDCD6IP, RAB10, SH3GL1, VPS29, RAB7A, USP8, SNX6, CYTH1, STAM2, KIAA0196, SNX2, ASAP1, EEA1, ARPC5, SNX3, CAPZB, ARPC3, ARPC2, VPS35, WIPF1, IQSEC1, EHD4, TGFBR1, VTA1, CBL, SMAD2, EPS15, AP2A2, RAB31, TFRC, ARAP2, ARAP1, DNM1, DNM2	556	241	6879	2.82355443446073	4.5526205028068034E-10	4.5526205028068034E-10	2.2239432517778823E-9
KEGG_PATHWAY	hsa04666:Fc gamma R-mediated phagocytosis	30	2.2304832713754648	4.210287733615787E-12	WASF2, ASAP1, ARPC5, CDC42, DOCK2, ARPC3, GAB2, ARPC2, RAC1, PIK3R5, INPP5D, PAK1, SYK, PRKCA, PTPRC, VAV3, MAP2K1, LYN, PIK3CB, HCK, PIK3CD, PRKCE, VAV2, VAV1, VASP, PRKCB, ARPC1B, MAPK1, PLCG2, CRK	556	84	6879	4.418679342240494	1.132570370820929E-9	5.662851298993132E-10	5.532574398614543E-9
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	31	2.3048327137546467	1.2449037483509104E-8	GRB2, CAMK2G, NFKB1, IRAK4, CDC42, IRAK3, PDPK1, MAP3K3, BCL2, MAP3K1, RAC1, RHOA, SH2B3, PIK3R5, RAPGEF1, MAP2K5, MAP2K1, PIK3CB, PIK3CD, MAPK1, RPS6KA3, PSEN1, RPS6KA2, MAPK14, GSK3B, PLCG2, RAP1A, RAP1B, ABL1, IKBKB, CRK	556	120	6879	3.196178057553957	3.34878549246298E-6	1.1162630768613013E-6	1.6358747378930616E-5
KEGG_PATHWAY	hsa05100:Bacterial invasion of epithelial cells	24	1.7843866171003717	2.3118183347733145E-8	CLTA, PIK3CB, HCLS1, WASF2, PIK3CD, CBL, ARPC5, CLTC, CD2AP, PXN, SEPT11, ELMO1, CTNNB1, CDC42, ARPC1B, ARPC3, ARPC2, RAC1, RHOA, PIK3R5, CRK, DNM1, DNM2, SEPT9	556	78	6879	3.806862202545656	6.21877206108401E-6	1.554696640870823E-6	3.037861345811521E-5
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	29	2.1561338289962824	1.869678999441384E-7	GNA13, GNAI3, SGMS2, GNAI2, NFKB1, SGMS1, PTEN, TNFRSF1A, PDPK1, GAB2, BCL2, RAC1, RHOA, PIK3R5, NSMAF, PRKCA, ROCK1, MAP2K1, SPTLC2, PIK3CB, PIK3CD, PRKCE, PRKCB, MAPK1, GNAQ, MAPK14, PPP2R5E, ABCC1, PPP2R3C	556	120	6879	2.9899730215827343	5.029310504500728E-5	1.0058823366798642E-5	2.4568625578424985E-4
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	26	1.933085501858736	2.0795332140417885E-7	GRB2, NFKB1, CDC42, PDPK1, PAK2, MAP3K8, RHOA, PIK3R5, PAK1, PPP3CA, NFATC2, NFATC3, TEC, PTPRC, VAV3, MAP2K1, PIK3CB, PIK3CD, MALT1, VAV2, VAV1, MAPK1, GSK3B, MAPK14, MAP3K14, IKBKB	556	100	6879	3.216798561151079	5.5937884705037355E-5	9.323198086552686E-6	2.732622361056869E-4
KEGG_PATHWAY	hsa04662:B cell receptor signaling pathway	21	1.5613382899628252	2.6309301344748754E-7	VAV3, MAP2K1, LYN, GRB2, PIK3CB, PIK3CD, NFKB1, MALT1, VAV2, VAV1, MAPK1, GSK3B, PLCG2, RAC1, PIK3R5, PPP3CA, INPP5D, IKBKB, NFATC2, NFATC3, SYK	556	69	6879	3.765483265561464	7.076952565654437E-5	1.011023888231044E-5	3.457187440103482E-4
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	40	2.973977695167286	5.314001661634804E-7	GNA13, DIAPH1, DIAPH2, DIAPH3, SSH2, WASF2, IQGAP2, ITGB5, FGF13, ARPC5, IQGAP1, PXN, CDC42, PAK2, ARPC3, TIAM1, ARPC2, RAC1, PIKFYVE, PPP1R12A, RHOA, PDGFC, PIK3R5, MSN, PAK1, APC, VAV3, ARHGEF1, ROCK1, MAP2K1, PIK3CB, PIK3CD, VAV2, VAV1, MAPK1, ARPC1B, CYFIP1, TMSB4X, PIP4K2A, CRK	556	210	6879	2.356628982528263	1.4293646629948142E-4	1.7868175698487754E-5	6.982880175199213E-4
KEGG_PATHWAY	hsa04664:Fc epsilon RI signaling pathway	20	1.486988847583643	9.810675914285913E-7	PRKCA, VAV3, MAP2K1, LYN, GRB2, PIK3CB, PIK3CD, VAV2, VAV1, PRKCB, MAPK1, PDPK1, PLA2G4A, GAB2, MAPK14, PLCG2, RAC1, PIK3R5, INPP5D, SYK	556	68	6879	3.638912399492171	2.638724910675183E-4	2.9322604699455468E-5	0.0012891713571994146
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	20	1.486988847583643	2.5362236191381983E-6	E2F3, CTBP2, MAP2K1, GRB2, PIK3CB, TGFBR1, CBL, PIK3CD, NFKB1, RB1, BCL2L1, TGFB1, MAPK1, GAB2, MDM2, PIK3R5, IKBKB, ABL1, RUNX1, CRK	556	72	6879	3.4367505995203835	6.820123424911007E-4	6.822217463231528E-5	0.0033326918635112612
