Annotation Cluster 1	Enrichment Score: 4.042247181387347
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cell junction	24	11.76470588235294	1.1873847130633528E-7	DLC1, PTPRJ, SH3PXD2A, BCR, CADM1, CADM2, GRIK2, MYO1E, UTRN, MAP1B, DAG1, FER, NRXN1, PTPN12, LRRTM4, ANK2, CLIC4, ANK3, SIPA1L1, NLGN4X, PARD3B, DST, ADGRL3, LRRC7	196	675	20581	3.7335147392290247	2.9090504053197463E-5	5.81816851241701E-6	1.5376218198692726E-4
GOTERM_CC_DIRECT	GO:0045211~postsynaptic membrane	12	5.88235294117647	9.150439939510647E-6	BCR, ANK2, LRRTM4, GRIK2, ANK3, SIPA1L1, UTRN, NLGN4X, DAG1, PTEN, IL1RAPL1, LRRC7	183	211	18224	5.663584803045607	0.002166314334610453	7.226268419735504E-4	0.011786742613639767
UP_KEYWORDS	Synapse	14	6.862745098039216	3.857343855433314E-5	BCR, CADM1, GRIK2, CADM2, UTRN, MAP1B, DAG1, NRXN1, ANK2, LRRTM4, ANK3, SIPA1L1, NLGN4X, LRRC7	196	357	20581	4.1178471388555415	0.009406157442966578	0.0011806368392116573	0.04993978334776328
UP_KEYWORDS	Postsynaptic cell membrane	10	4.901960784313726	5.427898367185581E-5	BCR, ANK2, LRRTM4, GRIK2, ANK3, SIPA1L1, UTRN, NLGN4X, DAG1, LRRC7	196	179	20581	5.8662068179227	0.013210674746203965	0.0013289873054825874	0.07026665107670027
GOTERM_CC_DIRECT	GO:0030054~cell junction	12	5.88235294117647	0.00653204997368957	EPB41L2, SH3PXD2A, BCR, LRRTM4, GRIK2, SIPA1L1, UTRN, NLGN4X, MAP1B, FER, NRXN1, LRRC7	183	459	18224	2.6035215543412265	0.788424652247393	0.09251058843835203	8.09551593041703
GOTERM_CC_DIRECT	GO:0014069~postsynaptic density	6	2.941176470588235	0.0375416989469913	BCR, GRIK2, SIPA1L1, NLGN4X, MAP1B, LRRC7	183	184	18224	3.247327156094084	0.9998847832417745	0.3378170654102777	38.91567186763836

Annotation Cluster 2	Enrichment Score: 3.843738502090552
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	domain:Ig-like C2-type 1	15	7.352941176470589	1.0861925311045129E-8	CADM1, CADM2, HSPG2, AXL, PTPRS, ALCAM, NCAM1, NCAM2, CNTN4, IL1RAPL2, NEGR1, IL1RAPL1, CHL1, NTM, KIRREL3	195	202	20063	7.64013709063214	1.0047230537990615E-5	1.0047230537990615E-5	1.699095707463627E-5
UP_SEQ_FEATURE	domain:Ig-like C2-type 2	15	7.352941176470589	1.1570316537351659E-8	CADM1, CADM2, HSPG2, AXL, PTPRS, ALCAM, NCAM1, NCAM2, CNTN4, IL1RAPL2, NEGR1, IL1RAPL1, CHL1, NTM, KIRREL3	195	203	20063	7.602500947328535	1.0702485536362438E-5	5.351257086227967E-6	1.809907020922097E-5
UP_KEYWORDS	Cell adhesion	21	10.294117647058822	3.2507907761494136E-8	PRKCA, COL18A1, CADM1, NRXN3, CADM2, ITGA1, PTPRS, NRXN1, ALCAM, NCAM1, CD9, NCAM2, NLGN4X, TENM3, CDH19, CNTN4, LAMB1, DST, NEGR1, CHL1, NTM	196	479	20581	4.603563972561885	7.964405826843546E-6	2.654808990310009E-6	4.209662932685987E-5
UP_SEQ_FEATURE	domain:Ig-like C2-type 3	12	5.88235294117647	4.731448093460191E-8	NCAM1, ALCAM, NCAM2, HSPG2, PTPRS, CNTN4, IL1RAPL2, IL1RAPL1, NEGR1, CHL1, NTM, KIRREL3	195	128	20063	9.645673076923078	4.3764938144619236E-5	1.4588525538927755E-5	7.401248606209165E-5
INTERPRO	IPR013098:Immunoglobulin I-set	11	5.392156862745098	2.2243010509903922E-6	NCAM1, NCAM2, CADM1, HSPG2, PTPRS, SEMA3C, CNTN4, NEGR1, CHL1, NTM, KIRREL3	194	141	18559	7.463222929004899	0.001113755379484327	0.001113755379484327	0.0032039379621151554
INTERPRO	IPR003598:Immunoglobulin subtype 2	13	6.372549019607843	1.2454992829892482E-5	ALCAM, NCAM1, NCAM2, CADM1, CADM2, HSPG2, PTPRS, CNTN4, IL1RAPL1, NEGR1, CHL1, NTM, KIRREL3	194	250	18559	4.974577319587628	0.006220561959914939	0.0020778350615673347	0.017939248028875365
UP_KEYWORDS	Immunoglobulin domain	17	8.333333333333332	6.791248941754715E-5	CADM1, CADM2, HSPG2, AXL, PTPRS, ALCAM, NCAM1, NCAM2, SEMA3C, SEMA4B, CNTN4, IL1RAPL2, NEGR1, IL1RAPL1, CHL1, NTM, KIRREL3	196	546	20581	3.2693896239814606	0.01650145927968949	0.0015115042446948168	0.0879086933194273
UP_SEQ_FEATURE	domain:Ig-like C2-type 5	6	2.941176470588235	1.8868056853139483E-4	NCAM1, NCAM2, HSPG2, CNTN4, CHL1, KIRREL3	195	55	20063	11.224055944055944	0.1601617734461518	0.042698124888869815	0.2947395444146572
INTERPRO	IPR003599:Immunoglobulin subtype	16	7.8431372549019605	2.2640317775859421E-4	CADM1, CADM2, HSPG2, AXL, PTPRS, ALCAM, NCAM1, NCAM2, SEMA3C, CNTN4, IL1RAPL2, NEGR1, IL1RAPL1, CHL1, NTM, KIRREL3	194	497	18559	3.079756891866664	0.10724298449007652	0.02796183273209263	0.3256271735728178
INTERPRO	IPR013783:Immunoglobulin-like fold	23	11.27450980392157	3.774612789329959E-4	PTPRJ, CADM1, CADM2, F13A1, DAG1, HSPG2, AXL, PTPRS, ASTN2, ALCAM, NCAM1, IFNAR2, NCAM2, SEMA3C, CNTN4, RBPJ, IL1RAPL2, NFATC2, NEGR1, IL1RAPL1, CHL1, NTM, KIRREL3	194	951	18559	2.313663316964237	0.1723325206303732	0.03103226678706783	0.5423392616206169
SMART	SM00408:IGc2	13	6.372549019607843	3.9969432571761317E-4	ALCAM, NCAM1, NCAM2, CADM1, CADM2, HSPG2, PTPRS, CNTN4, IL1RAPL1, NEGR1, CHL1, NTM, KIRREL3	153	250	10057	3.4180653594771244	0.05970839206281209	0.05970839206281209	0.47842142295071444
UP_SEQ_FEATURE	domain:Ig-like C2-type 4	6	2.941176470588235	8.508149860537206E-4	NCAM1, NCAM2, HSPG2, CNTN4, CHL1, KIRREL3	195	76	20063	8.122672064777328	0.5449458469684073	0.1229779475287538	1.3226440172656062
INTERPRO	IPR003961:Fibronectin, type III	9	4.411764705882353	0.001485522212777961	NCAM1, PTPRJ, NCAM2, IFNAR2, AXL, PTPRS, CNTN4, ASTN2, CHL1	194	207	18559	4.159345584939489	0.5251707314179355	0.08889761155107367	2.1186402917173774
UP_SEQ_FEATURE	domain:Fibronectin type-III 2	7	3.431372549019608	0.0018789814604264134	NCAM1, PTPRJ, NCAM2, AXL, PTPRS, CNTN4, CHL1	195	133	20063	5.415114709851552	0.8244256692080114	0.134955561203688	2.899139382000493
UP_SEQ_FEATURE	domain:Fibronectin type-III 1	7	3.431372549019608	0.0019515451462961942	NCAM1, PTPRJ, NCAM2, AXL, PTPRS, CNTN4, CHL1	195	134	20063	5.37470340604669	0.835844806992053	0.12976815590395452	3.0095063550494072
SMART	SM00409:IG	16	7.8431372549019605	0.008129788472082232	CADM1, CADM2, HSPG2, AXL, PTPRS, ALCAM, NCAM1, NCAM2, SEMA3C, CNTN4, IL1RAPL2, NEGR1, IL1RAPL1, CHL1, NTM, KIRREL3	153	497	10057	2.116121565997291	0.7155234269733943	0.2696826354052553	9.328183167422432
INTERPRO	IPR007110:Immunoglobulin-like domain	16	7.8431372549019605	0.01496669362490748	CADM1, CADM2, HSPG2, AXL, PTPRS, ALCAM, NCAM1, NCAM2, SEMA3C, CNTN4, IL1RAPL2, NEGR1, IL1RAPL1, CHL1, NTM, KIRREL3	194	771	18559	1.985264818751922	0.9994765097886357	0.314597903887339	19.52444763314608
UP_SEQ_FEATURE	domain:Fibronectin type-III 4	4	1.9607843137254901	0.023132568004647986	PTPRJ, PTPRS, CNTN4, CHL1	195	63	20063	6.532519332519333	0.9999999996037598	0.4810928542801677	30.65709030983119
SMART	SM00060:FN3	7	3.431372549019608	0.026237974861947896	NCAM1, PTPRJ, NCAM2, AXL, PTPRS, CNTN4, CHL1	153	150	10057	3.067494553376906	0.9833376436583905	0.31080887793911616	27.309092487913965
UP_SEQ_FEATURE	domain:Fibronectin type-III 3	4	1.9607843137254901	0.04798744970057801	PTPRJ, PTPRS, CNTN4, CHL1	195	84	20063	4.8993894993895	1.0	0.6792904967923405	53.66445728240438
UP_SEQ_FEATURE	domain:Ig-like C2-type 6	3	1.4705882352941175	0.04966577297466206	HSPG2, CNTN4, CHL1	195	37	20063	8.342203742203743	1.0	0.6831385934448574	54.92588284859927

Annotation Cluster 3	Enrichment Score: 2.9104813318401703
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Differentiation	19	9.313725490196079	6.8533406205672E-5	CADM1, C10ORF11, AXL, FOXO1, DOCK7, GPM6B, DPYSL2, GAS7, SLIT2, THSD7A, PRKD1, TRAPPC9, TENM3, SEMA3C, SEMA4B, SMURF1, SPATA6, CHL1, HIP1	196	667	20581	2.991149833246642	0.016651072441531967	0.0013982931348799355	0.08871210422718434
UP_KEYWORDS	Neurogenesis	11	5.392156862745098	1.4210191800615167E-4	PRKD1, PHACTR4, SEMA4B, SEMA3C, GPM6B, DOCK7, DPYSL2, GAS7, PTEN, SLIT2, CHL1	196	250	20581	4.620224489795919	0.03421829037915991	0.002483870346548289	0.18386100579932396
UP_KEYWORDS	Developmental protein	13	6.372549019607843	0.19056965479335963	FMNL3, CADM1, PHACTR4, SEMA4B, SEMA3C, GPM6B, DOCK7, KIAA1217, DPYSL2, SPATA6, GAS7, SLIT2, CHL1	196	949	20581	1.4384260553536485	1.0	0.6236892182749871	93.52923767197379

Annotation Cluster 4	Enrichment Score: 2.8829546740352616
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
