Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04510:Focal adhesion	27	5.9734513274336285	1.0000856678508366E-11	COL3A1, ITGB1, PTEN, MYL9, PTK2, DOCK1, COL27A1, COL6A2, PPP1R12A, PIK3CA, AKT3, THBS4, COL4A2, COL4A1, FLT1, ROCK1, ROCK2, ITGA1, MAPK10, COL5A3, COL5A2, LAMA4, LAMA3, ITGA7, COL1A2, PDGFRB, PARVA	178	206	6879	5.065261263226792	1.980176023153035E-9	1.980176023153035E-9	1.251444503580501E-8
KEGG_PATHWAY	hsa04611:Platelet activation	21	4.646017699115045	7.988212286773323E-11	ADCY3, ROCK1, ROCK2, ADCY5, COL3A1, ADCY6, STIM1, COL5A3, PRKG1, ITGB1, COL5A2, ITPR1, PLCB4, COL27A1, COL1A2, PPP1R12A, GUCY1A2, PIK3CA, GUCY1A3, GUCY1B3, AKT3	178	130	6879	6.242826274848747	1.5816655873912566E-8	7.908327992467434E-9	9.99591520667309E-8
KEGG_PATHWAY	hsa04022:cGMP-PKG signaling pathway	21	4.646017699115045	2.8177345341852945E-9	MEF2C, ADCY3, ROCK1, ROCK2, ADCY5, ADCY6, PRKG1, ITPR1, MYL9, EDNRA, MEF2D, AGTR1, EDNRB, PLCB4, KCNJ8, PDE5A, PPP1R12A, GUCY1A2, GUCY1A3, GUCY1B3, AKT3	178	158	6879	5.1365026312046655	5.579112741793679E-7	1.8597045936541434E-7	3.525925618141912E-6
KEGG_PATHWAY	hsa04512:ECM-receptor interaction	16	3.5398230088495577	4.1496109964735115E-9	COL4A2, COL4A1, COL3A1, ITGA1, COL5A3, COL5A2, ITGB1, LAMA4, CD36, LAMA3, CD44, COL27A1, ITGA7, COL6A2, COL1A2, THBS4	178	87	6879	7.10732274312282	8.216226398127802E-7	2.0540572320815187E-7	5.192547281041016E-6
KEGG_PATHWAY	hsa04270:Vascular smooth muscle contraction	18	3.982300884955752	5.613908108271361E-9	ADCY3, ROCK1, ROCK2, ACTA2, CALD1, ADCY5, ADCY6, PRKG1, ITPR1, MYL9, EDNRA, AGTR1, PLCB4, PPP1R12A, GUCY1A2, GUCY1A3, GUCY1B3, PLA2G5	178	117	6879	5.9455488331892825	1.111553192378878E-6	2.2231073726342032E-7	7.024871284677658E-6
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	29	6.415929203539823	4.449722809909012E-8	OSMR, COL3A1, BCL2L1, ITGB1, PTEN, PTK2, COL27A1, COL6A2, PIK3CA, ANGPT1, FGF1, ANGPT2, AKT3, THBS4, COL4A2, COL4A1, FLT1, ITGA1, COL5A3, COL5A2, LAMA4, LAMA3, ITGA7, COL1A2, JAK1, PDGFRB, MDM2, IL3RA, NGF	178	345	6879	3.248510014655594	8.810412552739955E-6	1.4684074827187032E-6	5.5680859711859654E-5
KEGG_PATHWAY	hsa05200:Pathways in cancer	31	6.8584070796460175	5.5431434952426505E-8	ADCY3, ADCY5, ADCY6, PPARG, BCL2L1, ITGB1, PTEN, TCF7L1, EDNRA, AGTR1, EDNRB, PTK2, PLCB4, PIK3CA, FGF1, RUNX1, AKT3, COL4A2, COL4A1, EPAS1, ROCK1, ROCK2, CBL, RB1, MAPK10, LAMA4, LAMA3, ETS1, JAK1, PDGFRB, MDM2	178	393	6879	3.048417531520714	1.0975364204024451E-5	1.567916547040582E-6	6.93631916348636E-5
KEGG_PATHWAY	hsa04924:Renin secretion	12	2.6548672566371683	5.454956768175341E-7	EDNRA, AGTR1, PLCB4, PDE1C, AGT, ADCY5, PDE1A, ADCY6, GUCY1A2, GUCY1A3, GUCY1B3, ITPR1	178	64	6879	7.246137640449438	1.0800234080277082E-4	1.3500930546084255E-5	6.825948927313696E-4
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	18	3.982300884955752	2.5287365578015157E-5	ADCY3, PARD3, FLT1, ADCY5, ADCY6, ITGB1, PLCE1, PLCB4, RAPGEF5, PIK3CA, PDGFRB, ANGPT1, FGF1, RAPGEF2, ANGPT2, MAP2K6, AKT3, NGF	178	210	6879	3.312520064205457	0.004994447752783127	5.561743544678643E-4	0.03163832279705625
KEGG_PATHWAY	hsa05222:Small cell lung cancer	11	2.433628318584071	5.8120192542080186E-5	COL4A2, LAMA4, PTK2, LAMA3, COL4A1, PIK3CA, RB1, BCL2L1, PTEN, ITGB1, AKT3	178	85	6879	5.0012557832121605	0.01144216728473657	0.0011501513237700545	0.07270341807149583
