Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04666:Fc gamma R-mediated phagocytosis	9	4.433497536945813	6.616984049007719E-6	PRKCA, PTPRC, DOCK2, VAV3, PIK3CD, PIK3R5, INPP5D, AKT3, PRKCB	84	84	6879	8.77423469387755	0.001031720337071107	0.001031720337071107	0.00795507410288332
KEGG_PATHWAY	hsa04664:Fc epsilon RI signaling pathway	8	3.9408866995073892	1.5434605451154362E-5	PRKCA, VAV3, FYN, PIK3CD, PIK3R5, INPP5D, AKT3, PRKCB	84	68	6879	9.634453781512605	0.00240492056603947	0.0012031841090197615	0.018554897903577672
KEGG_PATHWAY	hsa04660:T cell receptor signaling pathway	9	4.433497536945813	2.4165971384088773E-5	PTPRC, NCK2, VAV3, FYN, PIK3CD, MALT1, PIK3R5, NFATC2, AKT3	84	100	6879	7.370357142857142	0.003762839796956907	0.0012558564475003697	0.02905001729568424
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	7	3.4482758620689653	5.156341264708156E-5	PRKCA, PIK3CD, PIK3R5, STK4, AKT3, EML4, PRKCB	84	56	6879	10.23660714285714	0.008011832572971223	0.002009004185503982	0.06197524000627341
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	9	4.433497536945813	8.979602718318923E-5	PRKCA, FYN, BCL2, PIK3CD, PPP2R5C, ABCC1, PIK3R5, AKT3, PRKCB	84	120	6879	6.141964285714286	0.013911142446813018	0.0027978405718365185	0.10790515270572287
KEGG_PATHWAY	hsa04070:Phosphatidylinositol signaling system	8	3.9408866995073892	1.6467162180630685E-4	PRKCA, PIK3CD, INPP4B, PIK3R5, ITPKB, INPP5D, PIP4K2A, PRKCB	84	98	6879	6.685131195335277	0.025363685500613298	0.004272660824426344	0.19779924653308134
KEGG_PATHWAY	hsa04662:B cell receptor signaling pathway	7	3.4482758620689653	1.680393659757897E-4	VAV3, PIK3CD, MALT1, PIK3R5, INPP5D, NFATC2, AKT3	84	69	6879	8.307971014492754	0.025875678988656947	0.0037381874931782244	0.20184074715968725
KEGG_PATHWAY	hsa04510:Focal adhesion	11	5.41871921182266	1.683153045653789E-4	PRKCA, VAV3, CCND3, FYN, BCL2, PIK3CD, ARHGAP35, PIK3R5, PDGFD, AKT3, PRKCB	84	206	6879	4.372919556171984	0.025917617703775542	0.003277043421492265	0.20217188382810614
KEGG_PATHWAY	hsa05161:Hepatitis B	9	4.433497536945813	3.335564803410864E-4	PRKCA, STAT4, BCL2, PIK3CD, JAK1, PIK3R5, NFATC2, AKT3, PRKCB	84	145	6879	5.083004926108374	0.050712419651756435	0.0057659230169816444	0.4002866798416438
KEGG_PATHWAY	hsa04725:Cholinergic synapse	8	3.9408866995073892	3.564543439358038E-4	PRKCA, GNAO1, FYN, BCL2, PIK3CD, PIK3R5, AKT3, PRKCB	84	111	6879	5.902187902187903	0.0540984552525553	0.005546241562350507	0.4277114561234252
KEGG_PATHWAY	hsa04150:mTOR signaling pathway	6	2.955665024630542	6.286233818282678E-4	PRKCA, RPS6KA3, PIK3CD, PIK3R5, AKT3, PRKCB	84	58	6879	8.47167487684729	0.09343820609955344	0.008878179907478523	0.7531585857614487
KEGG_PATHWAY	hsa04370:VEGF signaling pathway	6	2.955665024630542	7.934371066503188E-4	PRKCA, PIK3CD, PIK3R5, NFATC2, AKT3, PRKCB	84	61	6879	8.055035128805619	0.11646583590980664	0.010265720650662669	0.9497608178172912
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	10	4.926108374384237	8.99039392385017E-4	PRKCA, FYB, GNAO1, PIK3CD, PIK3R5, PDGFD, APBB1IP, SKAP1, AKT3, PRKCB	84	210	6879	3.899659863945578	0.13091402949711994	0.010735286311988723	1.0755434274720366
KEGG_PATHWAY	hsa04014:Ras signaling pathway	10	4.926108374384237	0.0015078166814802996	PRKCA, ETS1, PIK3CD, PIK3R5, PDGFD, RASA3, STK4, AKT3, RASA2, PRKCB	84	226	6879	3.623577749683944	0.20974287724995067	0.016673497874403864	1.7978054792520015
KEGG_PATHWAY	hsa04650:Natural killer cell mediated cytotoxicity	7	3.4482758620689653	0.003412881889459959	PRKCA, VAV3, FYN, PIK3CD, PIK3R5, NFATC2, PRKCB	84	122	6879	4.698770491803278	0.41334605979511874	0.03493003548098961	4.026880737094074
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	6	2.955665024630542	0.0038606591180306133	PRKCA, NCK2, PIK3CD, PIK3R5, AKT3, PRKCB	84	87	6879	5.647783251231527	0.45306668204630296	0.03701194799132679	4.544036258962681
KEGG_PATHWAY	hsa04611:Platelet activation	7	3.4482758620689653	0.004665590342967894	FYN, PIK3CD, STIM1, ARHGAP35, PIK3R5, APBB1IP, AKT3	84	130	6879	4.4096153846153845	0.5178670033488184	0.04200607252514099	5.46726336176675
KEGG_PATHWAY	hsa04066:HIF-1 signaling pathway	6	2.955665024630542	0.005870808834669404	PRKCA, BCL2, PIK3CD, PIK3R5, AKT3, PRKCB	84	96	6879	5.118303571428571	0.6009007418138971	0.0497501079914725	6.83430826046314
KEGG_PATHWAY	hsa04210:Apoptosis	5	2.4630541871921183	0.006464349401445932	BCL2, PIK3CD, PIK3R5, AKT3, ATM	84	62	6879	6.60426267281106	0.6364040558063515	0.051855160157859514	7.500861774219603
KEGG_PATHWAY	hsa05231:Choline metabolism in cancer	6	2.955665024630542	0.007260675948625719	PRKCA, PIK3CD, PIK3R5, PDGFD, AKT3, PRKCB	84	101	6879	4.864922206506365	0.6791550900327583	0.05525466157743231	8.38827902659306
KEGG_PATHWAY	hsa05214:Glioma	5	2.4630541871921183	0.007634903397372888	PRKCA, PIK3CD, PIK3R5, AKT3, PRKCB	84	65	6879	6.299450549450549	0.6974821401757938	0.05534362866485887	8.80261186560094
KEGG_PATHWAY	hsa00562:Inositol phosphate metabolism	5	2.4630541871921183	0.01037729094981122	PIK3CD, INPP4B, ITPKB, INPP5D, PIP4K2A	84	71	6879	5.7671026156941645	0.8035437722221699	0.07129941692328501	11.786867050980055
KEGG_PATHWAY	hsa04960:Aldosterone-regulated sodium reabsorption	4	1.9704433497536946	0.01132496416268775	PRKCA, PIK3CD, PIK3R5, PRKCB	84	39	6879	8.3992673992674	0.8308170256405825	0.07434257439168601	12.79712293520613
KEGG_PATHWAY	hsa05203:Viral carcinogenesis	8	3.9408866995073892	0.011540574184531327	SP100, CCND3, RBL2, SND1, PIK3CD, JAK1, PIK3R5, RASA2	84	205	6879	3.1958188153310103	0.8364765076820266	0.07267385080839861	13.02548515371129
KEGG_PATHWAY	hsa04670:Leukocyte transendothelial migration	6	2.955665024630542	0.012347460411761569	PRKCA, VAV3, PIK3CD, ARHGAP35, PIK3R5, PRKCB	84	115	6879	4.272670807453416	0.8560363572325558	0.07459868331534492	13.875237796486283
KEGG_PATHWAY	hsa04810:Regulation of actin cytoskeleton	8	3.9408866995073892	0.013053561240037275	VAV3, PIK3CD, SSH2, IQGAP2, ARHGAP35, PIK3R5, PDGFD, PIP4K2A	84	210	6879	3.119727891156462	0.8712346091019405	0.07580948762611506	14.612598622490868
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	6	2.955665024630542	0.014635788111861673	RPS6KA5, RPS6KA3, BCL2, PIK3CD, PIK3R5, AKT3	84	120	6879	4.0946428571428575	0.8997467576934096	0.08165969504130577	16.243904302877056
